dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-11.09966,-13.86616,-11.10066,-29.6,-40.0,-0.0,-0.0
0.010000,-11.39966,-13.86616,-11.40066,-30.0,-40.0,-0.0,-0.0
0.010000,-11.70366,-13.86616,-11.70466,-30.4,-40.0,0.0,-0.0
0.010000,-12.01166,-13.86616,-12.01266,-30.8,-40.0,-0.0,-0.0
0.010000,-12.32366,-13.86616,-12.32466,-31.2,-40.0,-0.0,-0.0
0.010000,-12.63966,-13.86616,-12.64066,-31.6,-40.0,0.0,-0.0
0.010000,-12.95966,-13.86616,-12.96066,-32.0,-40.0,-0.0,-0.0
0.010000,-13.28366,-13.86616,-13.28466,-32.4,-40.0,-0.0,-0.0
0.010000,-13.61166,-13.86616,-13.61266,-32.8,-40.0,0.0,-0.0
0.010000,-13.94366,-13.86616,-13.94466,-33.2,-40.0,-0.0,-0.0
0.010000,-14.27966,-13.86616,-14.28066,-33.6,-40.0,0.0,-0.0
0.010000,-14.61966,-13.86616,-14.62066,-34.0,-40.0,-0.0,-0.0
0.010000,-14.96366,-13.86616,-14.96466,-34.4,-40.0,-0.0,-0.0
0.010000,-15.31166,-13.86616,-15.31266,-34.8,-40.0,-0.0,-0.0
0.010000,-15.66366,-13.86616,-15.66466,-35.2,-40.0,-0.0,-0.0
0.010000,-16.01966,-13.86616,-16.02066,-35.6,-40.0,0.0,-0.0
0.010000,-16.37966,-13.86616,-16.38066,-36.0,-40.0,-0.0,-0.0
0.010000,-16.74366,-13.86616,-16.74466,-36.4,-40.0,-0.0,-0.0
0.010000,-17.11166,-13.86616,-17.11266,-36.8,-40.0,1e-06,-0.0
0.010000,-17.48366,-13.86616,-17.48466,-37.2,-40.0,-1e-06,-0.0
0.010000,-17.85966,-13.86616,-17.86066,-37.6,-40.0,0.0,-0.0
0.010000,-18.23966,-13.86616,-18.24066,-38.0,-40.0,-0.0,-0.0
0.010000,-18.62366,-13.86616,-18.62466,-38.4,-40.0,-0.0,-0.0
0.010000,-19.01166,-13.86616,-19.01266,-38.8,-40.0,-0.0,-0.0
0.010000,-19.40366,-13.86616,-19.40466,-39.2,-40.0,0.0,-0.0
0.010000,-19.79966,-13.86616,-19.80066,-39.6,-40.0,-0.0,-0.0
0.010000,-20.19866,-13.86616,-20.19966,-39.9,-30.0,1000.0,-0.0
0.010000,-20.59866,-13.86616,-20.59966,-40.0,-10.0,2000.0,-0.0
0.010000,-20.99866,-13.86616,-20.99966,-40.0,-0.0,1000.0,-0.0
0.010000,-21.39866,-13.86616,-21.39966,-40.0,0.0,0.0,-0.0
0.010000,-21.79866,-13.86616,-21.79966,-40.0,-0.0,-0.0,-0.0
0.010000,-22.19866,-13.86616,-22.19966,-40.0,0.0,0.0,-0.0
0.010000,-22.59866,-13.86616,-22.59966,-40.0,-0.0,-0.0,-0.0
0.010000,-22.99866,-13.86616,-22.99966,-40.0,0.0,0.0,-0.0
0.010000,-23.39866,-13.86616,-23.39966,-40.0,-0.0,-0.0,-0.0
0.010000,-23.79866,-13.86616,-23.79966,-40.0,0.0,0.0,-0.0
0.010000,-24.19866,-13.86616,-24.19966,-40.0,-0.0,-0.0,-0.0
0.010000,-24.59866,-13.86616,-24.59966,-40.0,0.0,0.0,-0.0
0.010000,-24.99866,-13.86616,-24.99966,-40.0,-0.0,-0.0,-0.0
0.010000,-25.39866,-13.86616,-25.39966,-40.0,0.0,0.0,-0.0
0.010000,-25.79866,-13.86616,-25.79966,-40.0,-0.0,-0.0,-0.0
0.010000,-26.19866,-13.86616,-26.19966,-40.0,0.0,0.0,-0.0
0.010000,-26.59866,-13.86616,-26.59966,-40.0,-0.0,-0.0,-0.0
0.010000,-26.99866,-13.86616,-26.99966,-40.0,0.0,0.0,-0.0
0.010000,-27.39866,-13.86616,-27.39966,-40.0,-0.0,-0.0,-0.0
0.010000,-27.79866,-13.86616,-27.79966,-40.0,0.0,0.0,-0.0
0.010000,-28.19866,-13.86616,-28.19966,-40.0,-0.0,-0.0,-0.0
0.010000,-28.59866,-13.86616,-28.59966,-40.0,0.0,0.0,-0.0
0.010000,-28.99866,-13.86616,-28.99966,-40.0,-0.0,-0.0,-0.0
0.010000,-29.39866,-13.86616,-29.39966,-40.0,0.0,0.0,-0.0
0.010000,-29.79866,-13.86616,-29.79966,-40.0,-0.0,-0.0,-0.0
0.010000,-30.19866,-13.86616,-30.19966,-40.0,0.0,0.0,-0.0
0.010000,-30.59866,-13.86616,-30.59966,-40.0,-0.0,-0.0,-0.0
0.010000,-30.99866,-13.86616,-30.99966,-40.0,0.0,0.0,-0.0
0.010000,-31.39866,-13.86616,-31.39966,-40.0,-0.0,-0.0,-0.0
0.010000,-31.79866,-13.86616,-31.79966,-40.0,0.0,0.0,-0.0
0.010000,-32.19866,-13.86616,-32.19966,-40.0,-0.0,-0.0,-0.0
0.010000,-32.59866,-13.86616,-32.59966,-40.0,0.0,0.0,-0.0
0.010000,-32.99866,-13.86616,-32.99966,-40.0,-0.0,-0.0,-0.0
0.010000,-33.39866,-13.86616,-33.39966,-40.0,0.0,0.0,-0.0
0.010000,-33.79866,-13.86616,-33.79966,-40.0,-0.0,-0.0,-0.0
0.010000,-34.19866,-13.86616,-34.19966,-40.0,0.0,0.0,-0.0
0.010000,-34.59866,-13.86616,-34.59966,-40.0,-0.0,-0.0,-0.0
0.010000,-34.99866,-13.86616,-34.99966,-40.0,-0.0,-0.0,-0.0
0.010000,-35.39866,-13.86616,-35.39966,-40.0,-0.0,-0.0,-0.0
0.010000,-35.79866,-13.86616,-35.79966,-40.0,0.0,0.0,-0.0
0.010000,-36.19866,-13.86616,-36.19966,-40.0,-0.0,-0.0,-0.0
0.010000,-36.59866,-13.86616,-36.59966,-40.0,-0.0,-0.0,-0.0
0.010000,-36.99866,-13.86616,-36.99966,-40.0,-0.0,0.0,-0.0
0.010000,-37.39866,-13.86616,-37.39966,-40.0,-0.0,-0.0,-0.0
0.010000,-37.79866,-13.86616,-37.79966,-40.0,0.0,0.0,-0.0
0.010000,-38.19866,-13.86616,-38.19966,-40.0,-0.0,-0.0,-0.0
0.010000,-38.59866,-13.86616,-38.59966,-40.0,0.0,0.0,-0.0
0.010000,-38.99866,-13.86616,-38.99966,-40.0,-0.0,-0.0,-0.0
0.010000,-39.39866,-13.86616,-39.39966,-40.0,0.0,0.0,-0.0
0.010000,-39.79866,-13.86616,-39.79966,-40.0,-0.0,-0.0,-0.0
0.010000,-40.19866,-13.86616,-40.19966,-40.0,0.0,0.0,-0.0
0.010000,-40.59866,-13.86616,-40.59966,-40.0,-0.0,-0.0,-0.0
0.010000,-40.99866,-13.86616,-40.99966,-40.0,-0.0,0.0,-0.0
0.010000,-41.39866,-13.86616,-41.39966,-40.0,-0.0,-0.0,-0.0
0.010000,-41.79866,-13.86616,-41.79966,-40.0,0.0,0.0,-0.0
0.010000,-42.19866,-13.86616,-42.19966,-40.0,-0.0,-0.0,-0.0
0.010000,-42.59866,-13.86616,-42.59966,-40.0,-0.0,-0.0,-0.0
0.010000,-42.99866,-13.86616,-42.99966,-40.0,0.0,0.0,-0.0
0.010000,-43.39866,-13.86616,-43.39966,-40.0,-0.0,-0.0,-0.0
0.010000,-43.79866,-13.86616,-43.79966,-40.0,-0.0,-0.0,-0.0
0.010000,-44.19866,-13.86616,-44.19966,-40.0,-0.0,-0.0,-0.0
0.010000,-44.59866,-13.86616,-44.59966,-40.0,-0.0,-0.0,-0.0
0.010000,-44.99866,-13.86616,-44.99966,-40.0,0.0,0.0,-0.0
0.010000,-45.39866,-13.86616,-45.39966,-40.0,-0.0,-0.0,-0.0
0.010000,-45.79866,-13.86616,-45.79966,-40.0,-0.0,-0.0,-0.0
0.010000,-46.19866,-13.86616,-46.19966,-40.0,-0.0,-0.0,-0.0
0.010000,-46.59866,-13.86616,-46.59966,-40.0,0.0,0.0,-0.0
0.010000,-46.99866,-13.86616,-46.99966,-40.0,-0.0,-0.0,-0.0
0.010000,-47.39866,-13.86616,-47.39966,-40.0,-0.0,-0.0,-0.0
0.010000,-47.79866,-13.86616,-47.79966,-40.0,-0.0,-0.0,-0.0
0.010000,-48.19866,-13.86616,-48.19966,-40.0,0.0,0.0,-0.0
0.010000,-48.59866,-13.86616,-48.59966,-40.0,-0.0,-0.0,-0.0
0.010000,-48.99866,-13.86616,-48.99966,-40.0,-0.0,-0.0,-0.0
0.010000,-49.39866,-13.86616,-49.39966,-40.0,0.0,0.0,-0.0
0.010000,-49.79866,-13.86616,-49.79966,-40.0,-0.0,-0.0,-0.0
0.010000,-50.19866,-13.86616,-50.19966,-40.0,0.0,0.0,-0.0
0.010000,-50.59866,-13.86616,-50.59966,-40.0,-0.0,-0.0,-0.0
